EVTDESC13000_NEWS_LONG;"Когда ветра Западной цивилизации подули на Восток, каждая травинка и каждое дерево Востока следовали тому, что принес Западный ветер. Странные корабли начали появляться у $COUNTRY_ADJ$ берегов. Странные корабли с мачтами настолько высокими, что кажется, что они достают до самого Бога. Поначалу как случайность, затем всё чаще —  увеличиваясь в интенсивности как ветер вырастает в шторм — что же будет завтра? Эти корабли странные, но ещё более странными являются обычаи, что они привозят, но без сомнения, мы должны уважать их и внимать иностранцам из ""Европы"".";;Wenn der Wind der westlichen Zivilisation im Osten weht, so wird jeder Grashalm und jeder Baum vom Geiste des Westens erfьllt. An den Kьsten von $COUNTRY$ tauchen fremde Schiffe auf. Seltsame Schiffe mit Masten so hoch, als ob sie Gottes Antlitz berьhren wollten. Zunдchst eine Seltenheit, dann immer mehr und цfter, wie eine sanfte Brise, die sich zu einem Sturm auswдchst – und morgen? Merkwьrdig sind diese Schiffe, merkwьrdiger noch ihre Waren und Gebrдuche, und es besteht kein Zweifel, dass wir den Umgang mit den Fremden aus diesem 'Europa' erlernen mьssen.;;;;;;;;;;;x;
EVTDESC13000_NEWS_MEDIUM;"Странные корабли начали появляться у $COUNTRY_ADJ$ берегов. Эти корабли странные, но ещё более странными являются обычаи, что они привозят, но без сомнения, мы должны уважать их и внимать иностранцам из ""Европы"".";;An den Kьsten von $COUNTRY$ tauchen fremde Schiffe auf. Merkwьrdig sind diese Schiffe, merkwьrdiger noch ihre Waren und Gebrдuche, und es besteht kein Zweifel, dass wir den Umgang mit den Fremden aus diesem 'Europa' erlernen mьssen.;;;;;;;;;;;x;
EVTDESC13000_NEWS_SHORT;" Эти корабли странные, но ещё более странными являются обычаи, что они привозят, но без сомнения, мы должны уважать их и внимать иностранцам из ""Европы"".";;Merkwьrdig sind diese Schiffe, merkwьrdiger noch ihre Waren und Gebrдuche, und es besteht kein Zweifel, dass wir in $COUNTRY$ den Umgang mit den Fremden aus diesem 'Europa' erlernen mьssen.;;;;;;;;;;;x;
EVTDESC13100_NEWS_LONG;$COUNTRY$: Иностранцы зашли слишком далеко! Их миссионеры распространяют фальшивые учения, разрушая наше национальное единство, они ломают наши устои, их опиум затуманивает наши мысли. Это то, что вы услышите, если спросите людей из в провинции $PROVINCENAME$, где антииностранные настроения очень поднялись за последние месяцы. В провинции $PROVINCENAME$ будет удален иностранный торговый пост, чтобы снизить вредное влияния. Иностранцам не разрешат продолжать распространять свою ложь и укреплять свои позиции среди местного населения.;;$COUNTRY$: Die Fremden sind zu weit gegangen! Ihre Missionare verbreiten falsche Lehren, die unser Volk und unsere nationale Einheit zerrьtten, sie missachten unsere Gebrдuche und ihr Opium vergiftet unseren Geist. So sehen es zumindest die Einwohner von $PROVINCENAME$, wo die Fremdenfeindlichkeit in den letzten Monaten weiter zunimmt. Der AuЯenhandelsposten in $PROVINCENAME$ wird entfernt, um den schдdlichen Einfluss auszumerzen, und sie dьrfen nicht zurьckkehren, um ihre Lьgen und ihr Gift unter der Bevцlkerung zu verbreiten.;;;;;;;;;;;x;
EVTDESC13100_NEWS_MEDIUM;$COUNTRY$: Иностранцы зашли слишком далеко! Их миссионеры распространяют фальшивые учения, разрушая наше национальное единство, они ломают наши устои, их опиум затуманивает наши мысли. Антииностранные настроения поднимаются в провинции $PROVINCENAME$.;;$COUNTRY$: Die Fremden gehen zu weit! Ihre Missionare verbreiten falsche Lehren, die unser Volk und unsere nationale Einheit zerrьtten, sie missachten unsere Gebrдuche und ihr Opium vergiftet unseren Geist. Die Fremdenfeindlichkeit hat in $PROVINCENAME$ immens zugenommen. ;;;;;;;;;;;x;
EVTDESC13100_NEWS_SHORT;$COUNTRY$: Иностранцы зашли слишком далеко! Они ломают наши устои, их опиум затуманивает наши мысли. Антииностранные настроения поднимаются в провинции $PROVINCENAME$.;;$COUNTRY$: Die Fremden gehen zu weit! Sie missachten unsere Gebrдuche und ihr Opium vergiftet unseren Geist. Die Fremdenfeindlichkeit hat in $PROVINCENAME$ immens zugenommen. ;;;;;;;;;;;x;
EVTDESC13120_NEWS_LONG;Европейская гувернантка, нанятая, чтобы обучить $COUNTRY_ADJ$ двор отлично справляется со своей работой. Однако, при этом она вносит какие-то довольно странные идеи. Например, она достаточно жестко говорит о том, что все люди рождаются равными, и что держава $COUNTRY$ должна отменить освященную веками традцию рабства. Это опасно звучит для местных, привыкших к рабству...;;Die fьr den Unterricht des Hofes in $COUNTRY$ angeheuerte, europдische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwьrdige Ideen verbreitet. So vertritt sie mit recht barschen Worten die Idee, dass alle Menschen vor Gott gleich sind, und dass $COUNTRY$ die altbewдhrte Institution der Sklaverei aufgeben sollte. Fьr die seit Jahrhunderten an die Sklaverei gewцhnten Einwohner ein gefдhrlich anmutender Ansatz...;;;;;;;;;;;x;
EVTDESC13120_NEWS_MEDIUM;Европейская гувернантка, нанятая, чтобы обучить $COUNTRY_ADJ$ двор отлично справляется со своей работой. Однако, при этом она вносит какие-то довольно странные идеи. Например, она достаточно жестко говорит о том, что все люди рождаются равными.;;Die fьr den Unterricht des Hofes in $COUNTRY$ angeheuerte, europдische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwьrdige Ideen verbreitet. So vertritt sie mit recht barschen Worten die Idee, dass alle Menschen vor Gott gleich sind.;;;;;;;;;;;x;
EVTDESC13120_NEWS_SHORT;Европейская гувернантка, нанятая, чтобы обучить $COUNTRY_ADJ$ двор отлично справляется со своей работой. Однако, при этом она вносит какие-то довольно странные идеи.;;Die fьr den Unterricht des Hofes in $COUNTRY$ angeheuerte, europдische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwьrdige Ideen verbreitet.;;;;;;;;;;;x;
EVTDESC13230_NEWS_LONG;$COUNTRY$: Прогулка по ночным улицам провинции $PROVINCENAME$ может быть очень опасной. Накануне это на своем опыте испытал иностранный посол в Дипломатическом Квартале. Полицейские доложили, что нашли его тело в 4 часа утра, предположительно — он стал жертвой ограбления. Однако, иностранцы обвиняют местную власть в том, что ей не удалось обеспечить безопасность дипломатам, несмотря на то, что это ожидалось. Местные власти боятся, что формальных извинений будет недостаточно для того, чтобы их успокоить, однако что-то более ощутимое — возможно.;;$COUNTRY$: Alleine in den StraЯen von $PROVINCENAME$ zu wandeln, kann gefдhrlich sein, wie ein auslдndischer Botschafter im Botschafts-Viertel herausfinden musste. Wachen fanden ihn um 4 Uhr morgens tot auf, scheinbar Opfer eines Ьberfalls. Auslдndische Vertreter beschuldigen die lokale Administration, ihre Pflicht zum Schutz der Diplomaten vernachlдssigt zu haben. Lokale Offizielle befьrchten, dass eine formale Entschuldigung nicht ausreichen wird, um die Fremden zu besдnftigen, vielleicht aber hilft ein materieller Versuch…;;;;;;;;;;;x;
